"hh_refno","Maize_yield","phosphorous","sulfur","pH","Clay","Ca","Mg","K","C_capacity","Al_exc","Al_sat","Mg_indicator","K_indicator","P_indicator","S_indicator","Ca_indicator","farmproc_ph_indicator","soil_fertility_indicator","C_deficit_indicator","N_PNB","P_PNB","K_PNB","N_added","P_added","K_added","N_PNBI","P_PNBI","K_PNBI","all_PNBI","lands_eplot","landscape_no","eplot_no","Carbon_storage","Water_storage","Nutrient_supply"
"TZA-L10-H26",123.5525,24.054605,5.042969333,6.380304667,20.46127067,3.4230315,0.972392643,0.441998503,22.7745887551109,0.2644488,5.18336855012948,0,0.07743952096,0.1281658535,0.000717587861100002,0.045537008,0.167,0.4188599703211,0,-2.075682,-0.50656525,-0.593052,0,0,0,0.333,0.333,0.333,0.999,"L10 _ 1","L10",1,0,0.365370185384948,0.242774981506703
"TZA-L10-H27",314.497272727273,15.122186,5.35653,6.298912333,22.18726933,2.698573067,0.730890318,0.267598961,33.4755151015654,0.2390436,6.07309872446203,0,0.02163166752,0.0683186462,0.005954051,0.022354338144,0.167,0.285258702864,0,25.0429685454545,31.0601999363636,-1.50958690909091,30.3265227272727,32.3496387545455,0,0.27730034949495,0,0.333,0.610300349494949,"L10 _ 2","L10",2,0,0.407414513599893,0.539086727794835
"TZA-L10-H28",265.704301075269,12.88333033,4.870737667,6.074765,19.50212867,1.721628033,0.59729724,0.316074993,21.1917293092268,0.372346,12.3812147676379,0,0.03714399776,0.053318313211,0,0,0.167,0.257462310971,0,-4.38199533333333,-1.06941552777778,-1.25199866666667,0,0,0,0.333,0.333,0.333,0.999,"L10 _ 1","L10",1,0,0.365370185384948,0.242774981506703
"TZA-L10-H29",380.161538461538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4725746153846,-1.55866230769231,-1.82477538461538,21.8592884615385,0,0,0.333,0.333,0.333,0.999,"L10 _ 2","L10",2,0,0.407414513599893,0.539086727794835
"TZA-L10-H30",279.336086956522,4.317222667,6.806615667,6.061053,39.071834,1.813017567,0.784505664,0.205323782,19.1761647837426,0.351888333,11.1542901196505,0,0.00170361024,0,0.0301704816389,0,0.167,0.1988740918789,0,-4.59166018181818,-1.12058373484848,-1.31190290909091,0,0,0,0.333,0.333,0.333,0.999,"L10 _ 9","L10",9,0.0063057325818805,0.443599071966043,0.192618802265472
"TZA-L10-H31",521.364395604396,12.95158633,6.176866333,6.146512667,25.84996833,2.0360846,0.657735623,0.25147213,34.5088580755689,0.273655233,8.50138828573023,0,0.0164710816,0.053775628411,0.0196536677611,0.00115470720000001,0.167,0.2580550849721,0,20.5678254065934,-2.13759402197802,-2.5025490989011,29.3267472527473,0,0,0.327024162148962,0.333,0.333,0.993024162148962,"L10 _ 6","L10",6,0,0.275890072901126,0.00446376116531888
"TZA-L10-H32",741.315,19.01341133,5.182132,6.399867667,22.259123,3.059091,0.811378135,0.328986554,34.0649244127992,0.243501233,5.48061206252677,0,0.04127569728,0.094389855911,0.00304160439999999,0.033890912,0.167,0.339598069591,0,-12.454092,-3.0393915,-3.558312,0,0,0,0.333,0.333,0.333,0.999,"L10 _ 7","L10",7,0,0.634013572917091,0
"TZA-L11-H01",2372.208,3.090814333,11.76378533,6.257088333,77.08709433,5.774329,3.206854017,0.915636289,49.2510433670463,0.520629333,4.99766642525992,0.038619328544,0.167,0,0.112955215011,0.120778528,0.167,0.606353071555,0,-39.8530944,-9.7260528,-11.3865984,0,0,0,0.112743395555556,0.228309937777778,0.333,0.674053333333333,"L11 _ 2","L11",2,0.10678259686634,0.64470378249968,0.782910879107482
"TZA-L11-H02",1751.3566875,7.301456667,11.88516133,5.953228,70.22675233,3.432510067,1.52437479,0.532948476,30.6078884458632,0.3001482,5.18392326969102,0,0.10654351232,0.0159197596689,0.114982194211,0.045840322144,0.167,0.4502857883439,0,-1.2373782875,-7.18056241875,-8.4065121,28.1854140625,0,0,0.333,0.284876390694444,0.333,0.950876390694444,"L11 _ 12","L11",12,0.45941420528363,0.652974413722681,0.253279276285118
"TZA-L11-H03",2075.682,5.836155333,11.91577033,5.399845,62.94936067,3.212872767,2.035313637,0.319614464,38.8283673352494,0.381920567,6.41913358755425,0.001130036384,0.03827662848,0.00610224073109999,0.115493364511,0.038811928544,0.150274115,0.3500883136501,0,1.88541115,-8.5102962,-9.9632736,36.75686875,0,0,0.333,0.255326751111111,0.333,0.921326751111111,"L11 _ 5","L11",5,0.0631744427920034,0.637022311486453,0.539567070866717
"TZA-L11-H04",2471.05,4.846935667,22.503016,5.133855333,65.853707,3.292191167,1.536601063,0.560707736,59.5535237048072,0.85909,13.7485417458099,0,0.11542647552,0,0.167,0.041350117344,0.105853840611,0.429630433475,0.318450588315162,-6.50709833333333,-10.131305,-11.86104,35.0065416666667,0,0,0.333,0.219304333333333,0.333,0.885304333333333,"L11 _ 6","L11",6,0.111187640764184,0.687962962962963,0.807523253160747
"TZA-L11-H05",3706.575,6.042624667,9.937765333,5.992930667,66.348902,5.013598667,1.735983664,0.468527036,58.0573289305029,0.294461567,3.91958451490077,0,0.08592865152,0.0074855852689,0.0824606810611,0.096435157344,0.167,0.439310075194,0.268577434158999,-62.27046,-15.1969575,-17.79156,0,0,0,0,0.106734277777778,0.333,0.439734277777778,"L11 _ 2","L11",2,0.10678259686634,0.64470378249968,0.782910879107482
"TZA-L11-H06",536.814310344828,6.117677667,13.37327233,5.563817333,66.51588133,3.857741667,2.288289879,0.570918789,59.4761724664178,0.417982333,5.85825196185299,0.009225276128,0.11869401248,0.0079884403689,0.139833647911,0.059447733344,0.167,0.5021891102319,0.315872213960017,10.1534592413793,14.9150873827586,-2.57670868965517,19.1719396551724,17.1160260551724,0,0.333,0.112998058160919,0.333,0.778998058160919,"L11 _ 5","L11",5,0.0631744427920034,0.637022311486453,0.539567070866717
"TZA-L11-H07",1368.58153846154,2.215428667,16.000797,5.763250667,79.35745633,2.766668,1.27274467,0.334061683,25.421601470117,0.326787,6.95252828422879,0,0.04289973856,0,0.167,0.024533376,0.167,0.40143311456,0,36.8402105272727,10.5406007363636,44.534498625,51.3753759090909,14.0917242272727,48.7613419704545,0.146219883030303,0.161087393737374,0.145302639818182,0.452609916585859,"L11 _ 6","L11",6,0.111187640764184,0.687962962962963,0.807523253160747
"TZA-L11-H08",1415.23772727273,2.688459333,11.016002,5.901971333,70.09857767,3.6689227,1.500157848,0.341122582,28.8661691643486,0.216300633,3.77718485749644,0,0.04515922624,0,0.1004672334,0.0534055264,0.167,0.36603198604,0,11.7891549090909,-3.78340219090909,-6.27657932045455,28.8663568181818,0,0,0.255629334343434,0.324250281313131,0.333,0.912879615656566,"L11 _ 8","L11",8,0.0709285962347042,0.608582083991594,0.653640996294048
